id,username,displayname,description,followers,following,statuses,favourites,listed,mediaCount,created_at,profile_image,profile_banner
1733919142925783040,numbergoup_ngu,NUMBER GO UP - $NGU,"Number Go Up ($NGU) is a deflationary token residing on the Alephium Blockchain.

https://t.co/deIuh27do8
https://t.co/1rEMOBiWRn",931,767,1730,2302,10,246,2023-12-10T18:39:37+00:00,https://pbs.twimg.com/profile_images/1740776568484659200/IRoHajDc_normal.jpg,https://pbs.twimg.com/profile_banners/1733919142925783040/1711931708
1798598744327204864,PropWolf,Wolf Of Prop firms,Testing prop firms so you dont have to. Are they legit?,417,319,1,30,0,1,2024-06-06T06:12:28+00:00,https://pbs.twimg.com/profile_images/1907336494991224832/sTCV0qF9_normal.jpg,
189678641,ImLongmoney,SHEISTY ℵ,"The official page of Da. #1 stunna #TeamScorpio #TeamMoveYourMoney 
PUFF PUFF MUSIC
#CRYPTO - #NFT H◎DL 
$SOL 💎 $ALPH",542,624,4427,32035,6,106,2010-09-11T22:58:27+00:00,https://pbs.twimg.com/profile_images/1770662996580118528/aM6WmFfy_normal.jpg,https://pbs.twimg.com/profile_banners/189678641/1708501696
957716990768111617,16bitApex,16-Bit Apex 🟡,"I didnt choose the 16bit life, the 16bit life choose me!

Founder of @moonshotboxes
Co-Owner - @Gallaxia 

Not a place for Financial Advice 😅",45154,1349,5090,21579,16,612,2018-01-28T20:48:18+00:00,https://pbs.twimg.com/profile_images/1988255191787782144/se40bCeU_normal.jpg,https://pbs.twimg.com/profile_banners/957716990768111617/1752491717
1512478322885754889,octsapuluh,awkard,"TG : @ikhwanlaksita
Dc : kangtabak",190,1094,2641,2943,0,55,2022-04-08T17:11:54+00:00,https://pbs.twimg.com/profile_images/1915358715915780096/cA1pEeWa_normal.jpg,https://pbs.twimg.com/profile_banners/1512478322885754889/1690048315
1513633640185532423,lulupocketninja,Lulu,,2,47,1,79,0,1,2022-04-11T21:43:03+00:00,https://pbs.twimg.com/profile_images/1939766198494769153/JEZU86Ku_normal.jpg,https://pbs.twimg.com/profile_banners/1513633640185532423/1722764426
1827255256994213889,ThepsyOBSfFZ,Thepsy,,37,3510,0,0,0,0,2024-08-24T08:02:58+00:00,https://pbs.twimg.com/profile_images/1827255280209424386/fuSh5zcI_normal.jpg,https://pbs.twimg.com/profile_banners/1827255256994213889/1724486591
1792016455879581696,CryptoMillsy2,Crypto Millsy2,Crypto Investor/Analyst/Trader/Degen. NFA and DYR….           🗑️ ⛓️,3813,3016,18015,50835,4,1992,2024-05-19T02:16:57+00:00,https://pbs.twimg.com/profile_images/1988950131073511424/Ba96BxU8_normal.jpg,https://pbs.twimg.com/profile_banners/1792016455879581696/1759841944
1771008983240790016,V8GPOhp35PHw8,CathyJoyce,,78,7334,0,0,0,0,2024-03-22T03:00:24+00:00,https://pbs.twimg.com/profile_images/1784561567989628928/ehbK836N_normal.jpg,
1825978710467411968,Poslirezka1ZMx,Poslirez,,48,4385,0,0,0,0,2024-08-20T19:30:25+00:00,https://pbs.twimg.com/profile_images/1825978723805306880/9FRndLmO_normal.jpg,https://pbs.twimg.com/profile_banners/1825978710467411968/1724182234
